SECTION,ROW,VALUES
Scenario21,yield_w,3.3794
Scenario21,yield_c,1.8314
Scenario21,yield_b,22.3528
Scenario22,prob,0.002
Scenario22,yield_w,2.3645
Scenario22,yield_c,3.3804
Scenario22,yield_b,17.4183
Scenario23,prob,0.002
Scenario23,yield_w,2.5405
Scenario23,yield_c,2.5362
Scenario23,yield_b,19.8904
Scenario24,prob,0.002
Scenario24,yield_w,1.6452
Scenario24,yield_c,3.3994
Scenario24,yield_b,29.6402
Scenario25,prob,0.002
Scenario25,yield_w,2.1734
Scenario25,yield_c,2.4657
Scenario25,yield_b,27.7739
Scenario26,prob,0.002
Scenario26,yield_w,2.5666
Scenario26,yield_c,1.7366
Scenario26,yield_b,21.9635
Scenario27,prob,0.002
Scenario27,yield_w,1.8094
Scenario27,yield_c,1.8607
Scenario27,yield_b,20.171
Scenario28,prob,0.002
Scenario28,yield_w,2.7254
Scenario28,yield_c,3.0337
Scenario28,yield_b,20.5401
Scenario29,prob,0.002
Scenario29,yield_w,2.1396
Scenario29,yield_c,3.1818
Scenario29,yield_b,22.7608
Scenario30,prob,0.002
Scenario30,yield_w,2.325
Scenario30,yield_c,2.367
Scenario30,yield_b,15.3974
Scenario31,prob,0.002
Scenario31,yield_w,2.139
Scenario31,yield_c,3.447
Scenario31,yield_b,18.8418
Scenario32,prob,0.002
Scenario32,yield_w,3.6114
Scenario32,yield_c,1.8369
Scenario32,yield_b,12.4914
Scenario33,prob,0.002
Scenario33,yield_w,2.4919
Scenario33,yield_c,2.9537
Scenario33,yield_b,21.7965
Scenario34,prob,0.002
Scenario34,yield_w,1.8654
Scenario34,yield_c,2.1523
Scenario34,yield_b,22.9124
Scenario35,prob,0.002
Scenario35,yield_w,2.9935
Scenario35,yield_c,2.5437
Scenario35,yield_b,17.8257
Scenario36,prob,0.002
Scenario36,yield_w,1.7675
Scenario36,yield_c,3.0332
Scenario36,yield_b,27.0829
Scenario37,prob,0.002
Scenario37,yield_w,2.6253
Scenario37,yield_c,2.3977
Scenario37,yield_b,14.4841
Scenario38,prob,0.002
Scenario38,yield_w,1.3242
Scenario38,yield_c,2.7308
Scenario38,yield_b,13.4103
Scenario39,prob,0.002
Scenario39,yield_w,1.7031
Scenario39,yield_c,3.7044
Scenario39,yield_b,21.01
Scenario40,prob,0.002
Scenario40,yield_w,2.6181
Scenario40,yield_c,2.5962
Scenario40,yield_b,24.7119
Scenario41,prob,0.002
Scenario41,yield_w,2.9431
Scenario41,yield_c,3.585
Scenario41,yield_b,27.5777
Scenario42,prob,0.002
Scenario42,yield_w,2.6028
Scenario42,yield_c,2.2092
Scenario42,yield_b,17.935
Scenario43,prob,0.002
Scenario43,yield_w,2.4306
Scenario43,yield_c,3.3709
Scenario43,yield_b,24.8541
Scenario44,prob,0.002
Scenario44,yield_w,2.3193
Scenario44,yield_c,4.0091
Scenario44,yield_b,19.8267
Scenario45,prob,0.002
Scenario45,yield_w,1.6129
Scenario45,yield_c,1.2698
Scenario45,yield_b,19.2232
Scenario46,prob,0.002
Scenario46,yield_w,2.0681
Scenario46,yield_c,2.4422
Scenario46,yield_b,23.9765
Scenario47,prob,0.002
Scenario47,yield_w,2.2236
Scenario47,yield_c,3.404
Scenario47,yield_b,22.9355
Scenario48,prob,0.002
Scenario48,yield_w,3.1343
Scenario48,yield_c,2.8579
Scenario48,yield_b,12.9062
Scenario49,prob,0.002
Scenario49,yield_w,2.7062
Scenario49,yield_c,3.2598
Scenario49,yield_b,26.6444
Scenario50,prob,0.002
Scenario50,yield_w,1.4422
Scenario50,yield_c,2.5772
Scenario50,yield_b,26.2104
Scenario51,prob,0.002
Scenario51,yield_w,2.6945
Scenario51,yield_c,3.0606
Scenario51,yield_b,17.185
Scenario52,prob,0.002
Scenario52,yield_w,2.269
Scenario52,yield_c,2.891
Scenario52,yield_b,21.7811
Scenario53,prob,0.002
Scenario53,yield_w,2.0938
Scenario53,yield_c,3.8174
Scenario53,yield_b,22.2231
Scenario54,prob,0.002
Scenario54,yield_w,2.867
Scenario54,yield_c,3.1781
Scenario54,yield_b,21.173
Scenario55,prob,0.002
Scenario55,yield_w,3.1186
Scenario55,yield_c,3.2363
Scenario55,yield_b,17.5236
Scenario56,prob,0.002
Scenario56,yield_w,3.0588
Scenario56,yield_c,2.7117
Scenario56,yield_b,16.9777
Scenario57,prob,0.002
Scenario57,yield_w,1.9965
Scenario57,yield_c,2.6587
Scenario57,yield_b,19.885
Scenario58,prob,0.002
Scenario58,yield_w,2.3145
Scenario58,yield_c,2.6972
Scenario58,yield_b,25.2773
Scenario59,prob,0.002
Scenario59,yield_w,2.6988
Scenario59,yield_c,3.2761
Scenario59,yield_b,22.4462
Scenario60,prob,0.002
Scenario60,yield_w,3.0853
Scenario60,yield_c,2.7053
Scenario60,yield_b,18.3322
Scenario61,prob,0.002
Scenario61,yield_w,2.2125
Scenario61,yield_c,3.2028
Scenario61,yield_b,23.4726
Scenario62,prob,0.002
Scenario62,yield_w,2.3886
Scenario62,yield_c,4.4528
Scenario62,yield_b,7.1816
Scenario63,prob,0.002
Scenario63,yield_w,1.8362
Scenario63,yield_c,3.6098
Scenario63,yield_b,25.1694
Scenario64,prob,0.002
Scenario64,yield_w,1.7823
Scenario64,yield_c,2.7718
Scenario64,yield_b,12.1713
Scenario65,prob,0.002
Scenario65,yield_w,2.9875
Scenario65,yield_c,3.8408
Scenario65,yield_b,18.369
Scenario66,prob,0.002
Scenario66,yield_w,3.3137
Scenario66,yield_c,2.7143
Scenario66,yield_b,14.9615
Scenario67,prob,0.002
Scenario67,yield_w,2.4568
Scenario67,yield_c,1.5733
Scenario67,yield_b,14.1739
Scenario68,prob,0.002
Scenario68,yield_w,3.1021
Scenario68,yield_c,2.2943
Scenario68,yield_b,25.2237
Scenario69,prob,0.002
Scenario69,yield_w,2.717
Scenario69,yield_c,1.6904
Scenario69,yield_b,17.8953
Scenario70,prob,0.002
Scenario70,yield_w,2.1129
Scenario70,yield_c,2.7539
Scenario70,yield_b,21.5593
Scenario71,prob,0.002
Scenario71,yield_w,2.7168
Scenario71,yield_c,3.0129
Scenario71,yield_b,19.7889
Scenario72,prob,0.002
Scenario72,yield_w,3.4228
Scenario72,yield_c,4.1735
Scenario72,yield_b,22.1467
Scenario73,prob,0.002
Scenario73,yield_w,2.4785
Scenario73,yield_c,3.2288
Scenario73,yield_b,20.3457
Scenario74,prob,0.002
Scenario74,yield_w,3.4388
Scenario74,yield_c,2.8466
Scenario74,yield_b,14.2265
Scenario75,prob,0.002
Scenario75,yield_w,0.9282
Scenario75,yield_c,3.5806
Scenario75,yield_b,24.4832
Scenario76,prob,0.002
Scenario76,yield_w,2.9931
Scenario76,yield_c,1.4522
Scenario76,yield_b,17.7781
Scenario77,prob,0.002
Scenario77,yield_w,2.5522
Scenario77,yield_c,3.1649
Scenario77,yield_b,12.9954
Scenario78,prob,0.002
Scenario78,yield_w,2.3206
Scenario78,yield_c,3.5396
Scenario78,yield_b,18.0735
Scenario79,prob,0.002
Scenario79,yield_w,2.5551
Scenario79,yield_c,1.965
Scenario79,yield_b,26.7534
Scenario80,prob,0.002
Scenario80,yield_w,1.3075
Scenario80,yield_c,3.8006
Scenario80,yield_b,23.826
Scenario81,prob,0.002
Scenario81,yield_w,2.3682
Scenario81,yield_c,3.2369
Scenario81,yield_b,18.4311
Scenario82,prob,0.002
Scenario82,yield_w,2.7143
Scenario82,yield_c,2.7093
Scenario82,yield_b,18.4283
Scenario83,prob,0.002
Scenario83,yield_w,3.3867
Scenario83,yield_c,3.4429
Scenario83,yield_b,18.5526
Scenario84,prob,0.002
Scenario84,yield_w,2.189
Scenario84,yield_c,4.5895
Scenario84,yield_b,29.3454
Scenario85,prob,0.002
Scenario85,yield_w,2.0149
Scenario85,yield_c,3.1273
Scenario85,yield_b,21.7187
Scenario86,prob,0.002
Scenario86,yield_w,2.1989
Scenario86,yield_c,3.1738
Scenario86,yield_b,21.9352
Scenario87,prob,0.002
Scenario87,yield_w,3.0492
Scenario87,yield_c,2.6784
Scenario87,yield_b,24.6363
Scenario88,prob,0.002
Scenario88,yield_w,2.6973
Scenario88,yield_c,2.4051
Scenario88,yield_b,21.0746
Scenario89,prob,0.002
Scenario89,yield_w,2.1821
Scenario89,yield_c,3.5812
Scenario89,yield_b,18.8343
Scenario90,prob,0.002
Scenario90,yield_w,2.808
Scenario90,yield_c,2.4007
Scenario90,yield_b,19.1164
Scenario91,prob,0.002
Scenario91,yield_w,2.5582
Scenario91,yield_c,3.0501
Scenario91,yield_b,19.6778
Scenario92,prob,0.002
Scenario92,yield_w,3.0812
Scenario92,yield_c,2.6656
Scenario92,yield_b,19.8325
Scenario93,prob,0.002
Scenario93,yield_w,2.0788
Scenario93,yield_c,3.3353
Scenario93,yield_b,23.2743
Scenario94,prob,0.002
Scenario94,yield_w,2.3034
Scenario94,yield_c,3.2336
Scenario94,yield_b,20.2338
Scenario95,prob,0.002
Scenario95,yield_w,2.2647
Scenario95,yield_c,3.7263
Scenario95,yield_b,23.2969
Scenario96,prob,0.002
Scenario96,yield_w,1.6219
Scenario96,yield_c,2.643
Scenario96,yield_b,19.6368
Scenario97,prob,0.002
Scenario97,yield_w,2.6777
Scenario97,yield_c,2.8111
Scenario97,yield_b,20.3539
Scenario98,prob,0.002
Scenario98,yield_w,2.6566
Scenario98,yield_c,2.3149
Scenario98,yield_b,11.0081
Scenario99,prob,0.002
Scenario99,yield_w,2.5031
Scenario99,yield_c,2.689
Scenario99,yield_b,24.1235
Scenario100,prob,0.002
Scenario100,yield_w,2.3592
Scenario100,yield_c,3.2641
Scenario100,yield_b,21.5592
Scenario101,prob,0.002
Scenario101,yield_w,1.6508
Scenario101,yield_c,3.5299
Scenario101,yield_b,24.491
Scenario102,prob,0.002
Scenario102,yield_w,2.2476
Scenario102,yield_c,2.3545
Scenario102,yield_b,6.9669
Scenario103,prob,0.002
Scenario103,yield_w,2.2944
Scenario103,yield_c,3.6087
Scenario103,yield_b,29.3977
Scenario104,prob,0.002
Scenario104,yield_w,2.0186
Scenario104,yield_c,3.9489
Scenario104,yield_b,19.3718
Scenario105,prob,0.002
Scenario105,yield_w,2.4032
Scenario105,yield_c,3.2894
Scenario105,yield_b,24.9868
Scenario106,prob,0.002
Scenario106,yield_w,2.7424
Scenario106,yield_c,4.3138
Scenario106,yield_b,15.3204
Scenario107,prob,0.002
Scenario107,yield_w,3.6317
Scenario107,yield_c,2.4583
Scenario107,yield_b,22.7575
Scenario108,prob,0.002
Scenario108,yield_w,2.6047
Scenario108,yield_c,2.1287
Scenario108,yield_b,15.2596
Scenario109,prob,0.002
Scenario109,yield_w,2.6545
Scenario109,yield_c,1.7549
Scenario109,yield_b,17.193
Scenario110,prob,0.002
Scenario110,yield_w,2.4553
Scenario110,yield_c,4.0472
Scenario110,yield_b,28.6131
Scenario111,prob,0.002
Scenario111,yield_w,1.3487
Scenario111,yield_c,3.4581
Scenario111,yield_b,19.1419
Scenario112,prob,0.002
Scenario112,yield_w,2.4841
Scenario112,yield_c,2.9611
Scenario112,yield_b,20.9784
Scenario113,prob,0.002
Scenario113,yield_w,2.5361
Scenario113,yield_c,3.196
Scenario113,yield_b,23.9153
Scenario114,prob,0.002
Scenario114,yield_w,3.9779
Scenario114,yield_c,2.2122
Scenario114,yield_b,22.2306
Scenario115,prob,0.002
Scenario115,yield_w,2.3846
Scenario115,yield_c,4.712
Scenario115,yield_b,20.6769
Scenario116,prob,0.002
Scenario116,yield_w,2.6809
Scenario116,yield_c,3.0905
Scenario116,yield_b,21.6423
Scenario117,prob,0.002
Scenario117,yield_w,2.4792
Scenario117,yield_c,3.0766
Scenario117,yield_b,30.8154
Scenario118,prob,0.002
Scenario118,yield_w,1.7988
Scenario118,yield_c,3.508
Scenario118,yield_b,19.7407
Scenario119,prob,0.002
Scenario119,yield_w,3.1857
Scenario119,yield_c,3.3367
Scenario119,yield_b,20.9049
Scenario120,prob,0.002
Scenario120,yield_w,2.9512
Scenario120,yield_c,3.1567
Scenario120,yield_b,24.7279
Scenario121,prob,0.002
Scenario121,yield_w,2.9746
Scenario121,yield_c,2.4467
Scenario121,yield_b,24.9749
Scenario122,prob,0.002
Scenario122,yield_w,1.9544
Scenario122,yield_c,3.33
Scenario122,yield_b,25.3416
Scenario123,prob,0.002
Scenario123,yield_w,3.3417
Scenario123,yield_c,4.3174
Scenario123,yield_b,22.8743
Scenario124,prob,0.002
Scenario124,yield_w,1.6589
Scenario124,yield_c,3.9418
Scenario124,yield_b,14.8565
Scenario125,prob,0.002
Scenario125,yield_w,2.8521
Scenario125,yield_c,4.1152
Scenario125,yield_b,27.3504
Scenario126,prob,0.002
Scenario126,yield_w,3.8143
Scenario126,yield_c,2.6421
Scenario126,yield_b,14.8414
Scenario127,prob,0.002
Scenario127,yield_w,1.9057
Scenario127,yield_c,2.3073
Scenario127,yield_b,21.3619
Scenario128,prob,0.002
Scenario128,yield_w,2.1602
Scenario128,yield_c,2.9119
Scenario128,yield_b,16.6058
Scenario129,prob,0.002
Scenario129,yield_w,2.5598
Scenario129,yield_c,3.039
Scenario129,yield_b,19.7114
Scenario130,prob,0.002
Scenario130,yield_w,2.1979
Scenario130,yield_c,3.7659
Scenario130,yield_b,21.4794
Scenario131,prob,0.002
Scenario131,yield_w,1.5696
Scenario131,yield_c,1.8153
Scenario131,yield_b,21.4461
Scenario132,prob,0.002
Scenario132,yield_w,2.5411
Scenario132,yield_c,4.0707
Scenario132,yield_b,21.8986
Scenario133,prob,0.002
Scenario133,yield_w,1.8626
Scenario133,yield_c,2.8894
Scenario133,yield_b,27.2617
Scenario134,prob,0.002
Scenario134,yield_w,2.7842
Scenario134,yield_c,2.7012
Scenario134,yield_b,22.0409
Scenario135,prob,0.002
Scenario135,yield_w,1.9483
Scenario135,yield_c,2.2915
Scenario135,yield_b,18.9013
Scenario136,prob,0.002
Scenario136,yield_w,3.43
Scenario136,yield_c,1.8416
Scenario136,yield_b,24.3384
Scenario137,prob,0.002
Scenario137,yield_w,2.03
Scenario137,yield_c,3.5762
Scenario137,yield_b,25.3526
Scenario138,prob,0.002
Scenario138,yield_w,2.3068
Scenario138,yield_c,3.0513
Scenario138,yield_b,14.4758
Scenario139,prob,0.002
Scenario139,yield_w,2.9881
Scenario139,yield_c,2.097
Scenario139,yield_b,22.6883
Scenario140,prob,0.002
Scenario140,yield_w,1.7615
Scenario140,yield_c,2.0934
Scenario140,yield_b,23.1553
Scenario141,prob,0.002
Scenario141,yield_w,2.6365
Scenario141,yield_c,2.765
Scenario141,yield_b,18.661
Scenario142,prob,0.002
Scenario142,yield_w,3.2843
Scenario142,yield_c,4.1683
Scenario142,yield_b,26.1907
Scenario143,prob,0.002
Scenario143,yield_w,1.5355
Scenario143,yield_c,2.8183
Scenario143,yield_b,19.3247
Scenario144,prob,0.002
Scenario144,yield_w,2.6108
Scenario144,yield_c,1.9478
Scenario144,yield_b,20.5651
Scenario145,prob,0.002
Scenario145,yield_w,2.6559
Scenario145,yield_c,2.828
Scenario145,yield_b,19.2212
Scenario146,prob,0.002
Scenario146,yield_w,2.9691
Scenario146,yield_c,2.8091
Scenario146,yield_b,20.0701
Scenario147,prob,0.002
Scenario147,yield_w,1.7578
Scenario147,yield_c,1.1122
Scenario147,yield_b,15.0668
Scenario148,prob,0.002
Scenario148,yield_w,1.7077
Scenario148,yield_c,2.962
Scenario148,yield_b,13.5198
Scenario149,prob,0.002
Scenario149,yield_w,2.8132
Scenario149,yield_c,2.8383
Scenario149,yield_b,27.1753
Scenario150,prob,0.002
Scenario150,yield_w,2.6782
Scenario150,yield_c,3.4873
Scenario150,yield_b,16.1887
Scenario151,prob,0.002
Scenario151,yield_w,2.6503
Scenario151,yield_c,4.2943
Scenario151,yield_b,15.5387
Scenario152,prob,0.002
Scenario152,yield_w,2.7079
Scenario152,yield_c,3.7886
Scenario152,yield_b,10.3097
Scenario153,prob,0.002
Scenario153,yield_w,2.092
Scenario153,yield_c,2.8118
Scenario153,yield_b,17.1247
Scenario154,prob,0.002
Scenario154,yield_w,2.6394
Scenario154,yield_c,2.2254
Scenario154,yield_b,14.0461
Scenario155,prob,0.002
Scenario155,yield_w,2.6758
Scenario155,yield_c,4.8014
Scenario155,yield_b,27.3891
Scenario156,prob,0.002
Scenario156,yield_w,2.0714
Scenario156,yield_c,3.0415
Scenario156,yield_b,24.5442
Scenario157,prob,0.002
Scenario157,yield_w,3.6195
Scenario157,yield_c,3.0098
Scenario157,yield_b,16.9033
Scenario158,prob,0.002
Scenario158,yield_w,2.7843
Scenario158,yield_c,2.9831
Scenario158,yield_b,30.136
Scenario159,prob,0.002
Scenario159,yield_w,1.7852
Scenario159,yield_c,3.1387
Scenario159,yield_b,24.4179
Scenario160,prob,0.002
Scenario160,yield_w,2.8939
Scenario160,yield_c,2.8989
Scenario160,yield_b,18.5383
Scenario161,prob,0.002
Scenario161,yield_w,1.9152
Scenario161,yield_c,2.5984
Scenario161,yield_b,8.7527
Scenario162,prob,0.002
Scenario162,yield_w,2.9723
Scenario162,yield_c,2.6172
Scenario162,yield_b,30.3092
Scenario163,prob,0.002
Scenario163,yield_w,3.1952
Scenario163,yield_c,2.9771
Scenario163,yield_b,13.7469
Scenario164,prob,0.002
Scenario164,yield_w,2.0076
Scenario164,yield_c,2.6196
Scenario164,yield_b,12.5957
Scenario165,prob,0.002
Scenario165,yield_w,3.078
Scenario165,yield_c,2.501
Scenario165,yield_b,24.6016
Scenario166,prob,0.002
Scenario166,yield_w,2.7477
Scenario166,yield_c,3.0745
Scenario166,yield_b,30.9789
Scenario167,prob,0.002
Scenario167,yield_w,2.9932
Scenario167,yield_c,2.8215
Scenario167,yield_b,26.2292
Scenario168,prob,0.002
Scenario168,yield_w,3.6381
Scenario168,yield_c,4.0528
Scenario168,yield_b,22.5376
Scenario169,prob,0.002
Scenario169,yield_w,2.3528
Scenario169,yield_c,1.1443
Scenario169,yield_b,22.6764
Scenario170,prob,0.002
Scenario170,yield_w,2.0478
Scenario170,yield_c,3.7641
Scenario170,yield_b,23.8404
Scenario171,prob,0.002
Scenario171,yield_w,1.9663
Scenario171,yield_c,3.8723
Scenario171,yield_b,23.4152
Scenario172,prob,0.002
Scenario172,yield_w,2.0105
Scenario172,yield_c,1.5486
Scenario172,yield_b,21.2654
Scenario173,prob,0.002
Scenario173,yield_w,2.4537
Scenario173,yield_c,2.7601
Scenario173,yield_b,20.4689
Scenario174,prob,0.002
Scenario174,yield_w,2.7047
Scenario174,yield_c,2.74
Scenario174,yield_b,19.7183
Scenario175,prob,0.002
Scenario175,yield_w,2.666
Scenario175,yield_c,2.0147
Scenario175,yield_b,16.6072
Scenario176,prob,0.002
Scenario176,yield_w,2.9963
Scenario176,yield_c,2.4555
Scenario176,yield_b,18.737
Scenario177,prob,0.002
Scenario177,yield_w,2.5078
Scenario177,yield_c,2.2226
Scenario177,yield_b,12.3817
Scenario178,prob,0.002
Scenario178,yield_w,3.3721
Scenario178,yield_c,4.2266
Scenario178,yield_b,19.5575
Scenario179,prob,0.002
Scenario179,yield_w,2.3412
Scenario179,yield_c,3.655
Scenario179,yield_b,15.5513
Scenario180,prob,0.002
Scenario180,yield_w,4.1321
Scenario180,yield_c,3.8901
Scenario180,yield_b,15.0338
Scenario181,prob,0.002
Scenario181,yield_w,2.8754
Scenario181,yield_c,3.5052
Scenario181,yield_b,20.8095
Scenario182,prob,0.002
Scenario182,yield_w,1.9857
Scenario182,yield_c,2.2097
Scenario182,yield_b,26.264
Scenario183,prob,0.002
Scenario183,yield_w,1.8575
Scenario183,yield_c,2.6328
Scenario183,yield_b,24.1324
Scenario184,prob,0.002
Scenario184,yield_w,2.7895
Scenario184,yield_c,3.3426
Scenario184,yield_b,12.9327
Scenario185,prob,0.002
Scenario185,yield_w,2.3659
Scenario185,yield_c,2.1445
Scenario185,yield_b,15.5467
Scenario186,prob,0.002
Scenario186,yield_w,2.9284
Scenario186,yield_c,3.4991
Scenario186,yield_b,24.2335
Scenario187,prob,0.002
Scenario187,yield_w,2.7839
Scenario187,yield_c,2.8318
Scenario187,yield_b,15.5788
Scenario188,prob,0.002
Scenario188,yield_w,2.4563
Scenario188,yield_c,2.7376
Scenario188,yield_b,18.9892
Scenario189,prob,0.002
Scenario189,yield_w,1.9919
Scenario189,yield_c,3.4977
Scenario189,yield_b,22.4752
Scenario190,prob,0.002
Scenario190,yield_w,1.5911
Scenario190,yield_c,3.311
Scenario190,yield_b,15.6424
Scenario191,prob,0.002
Scenario191,yield_w,2.2321
Scenario191,yield_c,2.7473
Scenario191,yield_b,20.4742
Scenario192,prob,0.002
Scenario192,yield_w,3.0138
Scenario192,yield_c,3.8115
Scenario192,yield_b,13.9969
Scenario193,prob,0.002
Scenario193,yield_w,2.6285
Scenario193,yield_c,2.2433
Scenario193,yield_b,17.2938
Scenario194,prob,0.002
Scenario194,yield_w,1.7526
Scenario194,yield_c,3.4312
Scenario194,yield_b,21.439
Scenario195,prob,0.002
Scenario195,yield_w,2.6039
Scenario195,yield_c,3.4152
Scenario195,yield_b,12.8315
Scenario196,prob,0.002
Scenario196,yield_w,2.7312
Scenario196,yield_c,2.7833
Scenario196,yield_b,21.9821
Scenario197,prob,0.002
Scenario197,yield_w,1.9697
Scenario197,yield_c,3.2283
Scenario197,yield_b,19.9116
Scenario198,prob,0.002
Scenario198,yield_w,2.5922
Scenario198,yield_c,2.1242
Scenario198,yield_b,22.4862
Scenario199,prob,0.002
Scenario199,yield_w,2.5349
Scenario199,yield_c,3.6468
Scenario199,yield_b,21.0076
Scenario200,prob,0.002
Scenario200,yield_w,1.8142
Scenario200,yield_c,2.8706
Scenario200,yield_b,26.1386
Scenario201,prob,0.002
Scenario201,yield_w,2.7147
Scenario201,yield_c,2.6341
Scenario201,yield_b,20.5635
Scenario202,prob,0.002
Scenario202,yield_w,2.8365
Scenario202,yield_c,3.7343
Scenario202,yield_b,18.0677
Scenario203,prob,0.002
Scenario203,yield_w,3.1498
Scenario203,yield_c,2.507
Scenario203,yield_b,20.5503
Scenario204,prob,0.002
Scenario204,yield_w,3.1323
Scenario204,yield_c,2.0141
Scenario204,yield_b,22.4448
Scenario205,prob,0.002
Scenario205,yield_w,1.6734
Scenario205,yield_c,1.9104
Scenario205,yield_b,20.2199
Scenario206,prob,0.002
Scenario206,yield_w,1.9373
Scenario206,yield_c,3.4242
Scenario206,yield_b,20.1827
Scenario207,prob,0.002
Scenario207,yield_w,2.809
Scenario207,yield_c,2.1037
Scenario207,yield_b,16.841
Scenario208,prob,0.002
Scenario208,yield_w,2.8083
Scenario208,yield_c,4.2284
Scenario208,yield_b,17.0169
Scenario209,prob,0.002
Scenario209,yield_w,2.809
Scenario209,yield_c,1.5426
Scenario209,yield_b,13.6883
Scenario210,prob,0.002
Scenario210,yield_w,4.8116
Scenario210,yield_c,4.1875
Scenario210,yield_b,27.8731
Scenario211,prob,0.002
Scenario211,yield_w,2.8425
Scenario211,yield_c,3.1477
Scenario211,yield_b,14.4026
Scenario212,prob,0.002
Scenario212,yield_w,3.1813
Scenario212,yield_c,2.9323
Scenario212,yield_b,16.8819
Scenario213,prob,0.002
Scenario213,yield_w,3.0724
Scenario213,yield_c,2.6186
Scenario213,yield_b,16.7672
Scenario214,prob,0.002
Scenario214,yield_w,2.8908
Scenario214,yield_c,3.2794
Scenario214,yield_b,24.0272
Scenario215,prob,0.002
Scenario215,yield_w,2.3108
Scenario215,yield_c,2.9737
Scenario215,yield_b,18.6727
Scenario216,prob,0.002
Scenario216,yield_w,2.9554
Scenario216,yield_c,3.7723
Scenario216,yield_b,25.6148
Scenario217,prob,0.002
Scenario217,yield_w,2.0363
Scenario217,yield_c,3.08
Scenario217,yield_b,16.9693
Scenario218,prob,0.002
Scenario218,yield_w,2.3579
Scenario218,yield_c,3.1052
Scenario218,yield_b,21.2555
Scenario219,prob,0.002
Scenario219,yield_w,2.2088
Scenario219,yield_c,2.7455
Scenario219,yield_b,16.2409
Scenario220,prob,0.002
Scenario220,yield_w,2.5491
Scenario220,yield_c,2.9601
Scenario220,yield_b,29.6532
Scenario221,prob,0.002
Scenario221,yield_w,3.8888
Scenario221,yield_c,3.2155
Scenario221,yield_b,14.6558
Scenario222,prob,0.002
Scenario222,yield_w,1.3796
Scenario222,yield_c,1.8029
Scenario222,yield_b,21.3942
Scenario223,prob,0.002
Scenario223,yield_w,2.9118
Scenario223,yield_c,2.0563
Scenario223,yield_b,22.852
Scenario224,prob,0.002
Scenario224,yield_w,1.5324
Scenario224,yield_c,3.5203
Scenario224,yield_b,21.8621
Scenario225,prob,0.002
Scenario225,yield_w,2.2168
Scenario225,yield_c,3.1196
Scenario225,yield_b,19.1662
Scenario226,prob,0.002
Scenario226,yield_w,3.1534
Scenario226,yield_c,2.8712
Scenario226,yield_b,19.4158
Scenario227,prob,0.002
Scenario227,yield_w,2.5386
Scenario227,yield_c,3.0129
Scenario227,yield_b,20.1972
Scenario228,prob,0.002
Scenario228,yield_w,1.8534
